"","Form","Freq","lemma","POS"
"126","coreografe",37,"coreografa","NOUN-F:p"
"127","coreografi",868,"coreografo","NOUN-M:p"
"128","coreografo",2284,"coreografo","NOUN-M:s"
"129","cortigiana",319,"cortigiana","NOUN-F:s"
"130","cortigiane",241,"cortigiana","NOUN-F:p"
"131","cortigiani",1167,"cortigiano","NOUN-M:p"
"132","cortigiano",211,"cortigiano","NOUN-M:s"
"133","deputata",2228,"deputata","NOUN-F:s"
"134","deputate",467,"deputata","NOUN-F:p"
"135","deputati",88880,"deputato","NOUN-M:p"
"136","deputato",43430,"deputato","NOUN-M:s"
"137","destinatari",28906,"destinatario","NOUN-M:p"
"138","destinataria",1796,"destinataria","NOUN-F:s"
"139","destinatarie",2363,"destinataria","NOUN-F:p"
"140","destinatario",21611,"destinatario","NOUN-M:s"
"141","detenuta",422,"detenuta","NOUN-F:s"
"142","detenute",1056,"detenuta","NOUN-F:p"
"143","detenuti",33043,"detenuto","NOUN-M:p"
"144","detenuto",8795,"detenuto","NOUN-M:s"
"145","devota",292,"devota","NOUN-F:s"
"146","devote",104,"devota","NOUN-F:p"
"147","devoti",4394,"devoto","NOUN-M:p"
"148","devoto",1782,"devoto","NOUN-M:s"
"149","discepola",292,"discepola","NOUN-F:s"
"150","discepole",138,"discepola","NOUN-F:p"
"151","discepoli",15373,"discepolo","NOUN-M:p"
"152","discepolo",6302,"discepolo","NOUN-M:s"
"153","diva",2095,"diva","NOUN-F:s"
"154","dive",952,"diva","NOUN-F:p"
"155","divi",1723,"divo","NOUN-M:p"
"156","divo",1669,"divo","NOUN-M:s"
"157","divorziata",149,"divorziata","NOUN-F:s"
"158","divorziate",70,"divorziata","NOUN-F:p"
"159","divorziati",652,"divorziato","NOUN-M:p"
"160","divorziato",166,"divorziato","NOUN-M:s"
"161","estranea",6734,"estranea","NOUN-F:s"
"162","estranee",618,"estranea","NOUN-F:p"
"163","estranei",3921,"estraneo","NOUN-M:p"
"164","estraneo",3531,"estraneo","NOUN-M:s"
"165","fanciulla",7317,"fanciulla","NOUN-F:s"
"166","fanciulle",3476,"fanciulla","NOUN-F:p"
"167","fanciulli",5270,"fanciullo","NOUN-M:p"
"168","fanciullo",6357,"fanciullo","NOUN-M:s"
"169","fidanzata",10372,"fidanzata","NOUN-F:s"
"170","fidanzate",750,"fidanzata","NOUN-F:p"
"171","fidanzati",491,"fidanzato","NOUN-M:p"
"172","fidanzato",7382,"fidanzato","NOUN-M:s"
"173","figli",190686,"figlio","NOUN-M:p"
"174","figlia",69358,"figlia","NOUN-F:s"
"175","figliastra",393,"figliastra","NOUN-F:s"
"176","figliastre",30,"figliastra","NOUN-F:p"
"177","figliastri",223,"figliastro","NOUN-M:p"
"178","figliastro",289,"figliastro","NOUN-M:s"
"179","figlie",14964,"figlia","NOUN-F:p"
"180","figlio",177804,"figlio","NOUN-M:s"
"181","figliola",1032,"figliola","NOUN-F:s"
"182","figliole",262,"figliola","NOUN-F:p"
"183","figlioli",1299,"figliolo","NOUN-M:p"
"184","figliolo",2359,"figliolo","NOUN-M:s"
"185","fotografa",1377,"fotografa","NOUN-F:s"
"186","fotografe",110,"fotografa","NOUN-F:p"
"187","fotografi",7436,"fotografo","NOUN-M:p"
"188","fotografo",10442,"fotografo","NOUN-M:s"
"189","funzionari",42887,"funzionario","NOUN-M:p"
"190","funzionaria",615,"funzionaria","NOUN-F:s"
"191","funzionarie",117,"funzionaria","NOUN-F:p"
"192","funzionario",31467,"funzionario","NOUN-M:s"
"193","gatta",3726,"gatta","NOUN-F:s"
"194","gatte",526,"gatta","NOUN-F:p"
