"","Form","Freq","lemma","POS","base","logtoken","nountype"
"83","bimbi",18670,"bimbo","NOUN-M:p","bimb_",9.835,"animate"
"84","bimbo",18849,"bimbo","NOUN-M:s","bimb_",9.844,"animate"
"85","biologa",744,"biologa","NOUN-F:s","biolog_",6.612,"animate"
"86","biologhe",31,"biologa","NOUN-F:p","biolog_",3.434,"animate"
"87","biologi",3565,"biologo","NOUN-M:p","biolog_",8.179,"animate"
"88","biologo",3444,"biologo","NOUN-M:s","biolog_",8.144,"animate"
"89","bisnonna",413,"bisnonna","NOUN-F:s","bisnonn_",6.023,"animate"
"90","bisnonne",52,"bisnonna","NOUN-F:p","bisnonn_",3.951,"animate"
"91","bisnonni",452,"bisnonno","NOUN-M:p","bisnonn_",6.114,"animate"
"92","bisnonno",692,"bisnonno","NOUN-M:s","bisnonn_",6.54,"animate"
"93","bufala",4303,"bufala","NOUN-F:s","bufal_",8.367,"animate"
"94","bufale",1248,"bufala","NOUN-F:p","bufal_",7.129,"animate"
"95","bufali",809,"bufalo","NOUN-M:p","bufal_",6.696,"animate"
"96","bufalo",719,"bufalo","NOUN-M:s","bufal_",6.578,"animate"
"97","cagnetta",806,"cagnetta","NOUN-F:s","cagnett_",6.692,"animate"
"98","cagnette",106,"cagnetta","NOUN-F:p","cagnett_",4.663,"animate"
"99","cagnetti",113,"cagnetto","NOUN-M:p","cagnett_",4.727,"animate"
"100","cagnetto",273,"cagnetto","NOUN-M:s","cagnett_",5.609,"animate"
"101","candidata",18522,"candidata","NOUN-F:s","candidat_",9.827,"animate"
"102","candidate",1641,"candidata","NOUN-F:p","candidat_",7.403,"animate"
"103","candidati",105817,"candidato","NOUN-M:p","candidat_",11.569,"animate"
"104","candidato",119634,"candidato","NOUN-M:s","candidat_",11.692,"animate"
"105","capretta",439,"capretta","NOUN-F:s","caprett_",6.084,"animate"
"106","caprette",380,"capretta","NOUN-F:p","caprett_",5.94,"animate"
"107","capretti",387,"capretto","NOUN-M:p","caprett_",5.958,"animate"
"108","capretto",1139,"capretto","NOUN-M:s","caprett_",7.038,"animate"
"109","castellana",169,"castellana","NOUN-F:s","castellan_",5.13,"animate"
"110","castellane",29,"castellana","NOUN-F:p","castellan_",3.367,"animate"
"111","castellani",162,"castellano","NOUN-M:p","castellan_",5.088,"animate"
"112","castellano",309,"castellano","NOUN-M:s","castellan_",5.733,"animate"
"113","cavalla",1373,"cavalla","NOUN-F:s","cavall_",7.225,"animate"
"114","cavalle",420,"cavalla","NOUN-F:p","cavall_",6.04,"animate"
"115","cavalli",29312,"cavallo","NOUN-M:p","cavall_",10.286,"animate"
"116","cavallo",48140,"cavallo","NOUN-M:s","cavall_",10.782,"animate"
"117","cognata",1875,"cognata","NOUN-F:s","cognat_",7.536,"animate"
"118","cognate",219,"cognata","NOUN-F:p","cognat_",5.389,"animate"
"119","cognati",621,"cognato","NOUN-M:p","cognat_",6.431,"animate"
"120","cognato",3851,"cognato","NOUN-M:s","cognat_",8.256,"animate"
"121","commessa",6451,"commessa","NOUN-F:s","commess_",8.772,"animate"
"122","commesse",4123,"commessa","NOUN-F:p","commess_",8.324,"animate"
"123","commessi",10011,"commesso","NOUN-M:p","commess_",9.211,"animate"
"124","commesso",2087,"commesso","NOUN-M:s","commess_",7.643,"animate"
"125","coreografa",901,"coreografa","NOUN-F:s","coreograf_",6.804,"animate"
"126","coreografe",37,"coreografa","NOUN-F:p","coreograf_",3.611,"animate"
