"","Form","Freq","lemma","POS","base","logtoken","nountype","typetoken_ratio","entropy"
"291","sobbalzi",267,"sobbalzo","NOUN-M:p","sobbalz_",5.587,"control",61.218,9.617
"292","sobbalzo",361,"sobbalzo","NOUN-M:s","sobbalz_",5.889,"control",59.802,9.67
"293","sondaggista",155,"sondaggista","NOUN-M:s","sondaggist_",5.043,"control",59.533,8.397
"294","sondaggisti",280,"sondaggista","NOUN-M:p","sondaggist_",5.635,"control",55.863,9.308
"295","sorrisetti",127,"sorrisetto","NOUN-M:p","sorrisett_",4.844,"control",76.538,8.845
"296","sorrisetto",734,"sorrisetto","NOUN-M:s","sorrisett_",6.599,"control",46.295,9.94
"297","sortilegi",430,"sortilegio","NOUN-M:p","sortilegi_",6.064,"control",55.121,9.995
"298","sortilegio",775,"sortilegio","NOUN-M:s","sortilegi_",6.653,"control",49.149,10.352
"299","sottocapi",126,"sottocapo","NOUN-M:p","sottocap_",4.836,"control",30.838,7.062
"300","sottocapo",195,"sottocapo","NOUN-M:s","sottocap_",5.273,"control",30.978,6.788
"301","spia",7534,"spia","NOUN-F:s","spi_",8.927,"control",25.055,11.93
"302","spie",3780,"spia","NOUN-F:p","spi_",8.237,"control",30.78,11.659
"303","spuntone",252,"spuntone","NOUN-M:s","spunton_",5.529,"control",52.803,8.739
"304","spuntoni",244,"spuntone","NOUN-M:p","spunton_",5.497,"control",63.383,9.594
"305","statura",6365,"statura","NOUN-F:s","statur_",8.759,"control",22.862,11.37
"306","stature",84,"statura","NOUN-F:p","statur_",4.431,"control",79.113,8.546
"307","sterilizzazione",3429,"sterilizzazione","NOUN-F:s","sterilizzazion_",8.14,"control",23.533,11.145
"308","sterilizzazioni",329,"sterilizzazione","NOUN-F:p","sterilizzazion_",5.796,"control",48.707,9.444
"309","stipulazione",12340,"stipulazione","NOUN-F:s","stipulazion_",9.421,"control",6.304,9.686
"310","stipulazioni",133,"stipulazione","NOUN-F:p","stipulazion_",4.89,"control",59.954,8.686
"311","stirpe",5043,"stirpe","NOUN-F:s","stirp_",8.526,"control",27.26,11.448
"312","stirpi",584,"stirpe","NOUN-F:p","stirp_",6.37,"control",49.899,10.176
"313","stramberia",129,"stramberia","NOUN-F:s","stramberi_",4.86,"control",73.775,8.788
"314","stramberie",239,"stramberia","NOUN-F:p","stramberi_",5.476,"control",61.274,9.16
"315","strutturazione",6398,"strutturazione","NOUN-F:s","strutturazion_",8.764,"control",17.855,11.477
"316","strutturazioni",171,"strutturazione","NOUN-F:p","strutturazion_",5.142,"control",61.651,9.298
"317","taglione",430,"taglione","NOUN-M:s","taglion_",6.064,"control",43.893,8.475
"318","taglioni",5,"taglione","NOUN-M:p","taglion_",1.609,"control",94.118,4.97
"319","tale",127,"tale","NOUN-M:s","tal_",4.844,"control",63.281,8.532
"320","tali",885,"tale","NOUN-M:p","tal_",6.786,"control",40.316,10.501
"321","tarantola",329,"tarantola","NOUN-F:s","tarantol_",5.796,"control",59.68,9.541
"322","tarantole",90,"tarantola","NOUN-F:p","tarantol_",4.5,"control",71.378,8.435
"323","tegola",792,"tegola","NOUN-F:s","tegol_",6.675,"control",49.259,10.36
"324","tegole",1939,"tegola","NOUN-F:p","tegol_",7.57,"control",31.801,10.75
"325","telegrafi",174,"telegrafo","NOUN-M:p","telegraf_",5.159,"control",53.174,8.398
"326","telegrafo",1035,"telegrafo","NOUN-M:s","telegraf_",6.942,"control",34.133,9.929
"327","tema",288415,"tema","NOUN-M:s","tem_",12.572,"control",3.322,12.266
"328","temi",154063,"tema","NOUN-M:p","tem_",11.945,"control",4.067,11.918
"329","topografia",1726,"topografia","NOUN-F:s","topografi_",7.454,"control",34.123,11.012
"330","topografie",144,"topografia","NOUN-F:p","topografi_",4.97,"control",40.773,7.787
"331","transavanguardia",64,"transavanguardia","NOUN-F:s","transavanguardi_",4.159,"control",64.975,7.568
"332","transavanguardie",9,"transavanguardia","NOUN-F:p","transavanguardi_",2.197,"control",90,5.444
"333","trasalimenti",80,"trasalimento","NOUN-M:p","trasaliment_",4.382,"control",84.291,8.657
"334","trasalimento",62,"trasalimento","NOUN-M:s","trasaliment_",4.127,"control",78.386,7.918
"335","trasvolata",150,"trasvolata","NOUN-F:s","trasvolat_",5.011,"control",62.138,8.463
"336","trasvolate",49,"trasvolata","NOUN-F:p","trasvolat_",3.892,"control",77.32,7.587
"337","treppiede",781,"treppiede","NOUN-M:s","treppied_",6.661,"control",41.017,10.056
"338","treppiedi",299,"treppiede","NOUN-M:p","treppied_",5.7,"control",61.108,9.687
"339","tributaria",329,"tributaria","NOUN-F:s","tributari_",5.796,"control",44.056,9.451
"340","tributarie",235,"tributaria","NOUN-F:p","tributari_",5.46,"control",47.183,8.988
"341","trilione",132,"trilione","NOUN-M:s","trilion_",4.883,"control",58.657,8.361
"342","trilioni",357,"trilione","NOUN-M:p","trilion_",5.878,"control",39.344,8.617
"343","trivella",225,"trivella","NOUN-F:s","trivell_",5.416,"control",67.588,9.409
"344","trivelle",156,"trivella","NOUN-F:p","trivell_",5.05,"control",68.383,9.106
"345","tronchi",3109,"tronco","NOUN-M:p","tronc_",8.042,"control",32.647,11.523
"346","tronco",9178,"tronco","NOUN-M:s","tronc_",9.125,"control",21.091,11.805
"347","uguaglianza",21341,"uguaglianza","NOUN-F:s","uguaglianz_",9.968,"control",8.42,10.648
"348","uguaglianze",256,"uguaglianza","NOUN-F:p","uguaglianz_",5.545,"control",53.333,8.889
"349","urologi",133,"urologo","NOUN-M:p","urolog_",4.89,"control",65.725,8.749
"350","urologo",562,"urologo","NOUN-M:s","urolog_",6.332,"control",42.839,9.592
"351","vaghezza",1441,"vaghezza","NOUN-F:s","vaghezz_",7.273,"control",41.849,11.035
"352","vaghezze",91,"vaghezza","NOUN-F:p","vaghezz_",4.511,"control",76.562,8.63
"353","vani",3146,"vano","NOUN-M:p","van_",8.054,"control",24.097,10.855
"354","vano",2529,"vano","NOUN-M:s","van_",7.836,"control",28.8,10.966
"355","vilipendi",17,"vilipendio","NOUN-M:p","vilipendi_",2.833,"control",89.691,6.386
"356","vilipendio",1271,"vilipendio","NOUN-M:s","vilipendi_",7.148,"control",28.281,9.578
"357","vipera",1047,"vipera","NOUN-F:s","viper_",6.954,"control",43.085,10.538
"358","vipere",704,"vipera","NOUN-F:p","viper_",6.557,"control",51.638,10.422
"359","vocione",362,"vocione","NOUN-M:s","vocion_",5.892,"control",55.911,9.541
"360","vocioni",6,"vocione","NOUN-M:p","vocion_",1.792,"control",40,3.293
"361","zanzara",2620,"zanzara","NOUN-F:s","zanzar_",7.871,"control",27.134,10.538
"362","zanzare",4268,"zanzara","NOUN-F:p","zanzar_",8.359,"control",26.538,11.322
"363","zoccola",420,"zoccola","NOUN-F:s","zoccol_",6.04,"control",51.954,9.414
"364","zoccole",209,"zoccola","NOUN-F:p","zoccol_",5.342,"control",63.522,8.825
